Offset,biacromial,pelvic.breadth,bitrochanteric,chest.depth,chest.diam,elbow.diam,wrist.diam,knee.diam,ankle.diam,shoulder.girth,chest.girth,waist.girth,navel.girth,hip.girth,thigh.girth,bicep.girth,forearm.girth,knee.girth,calf.girth,ankle.girth,wrist.girth,age,height,weight
1.0,42.9,26.0,31.5,17.7,28.0,13.1,10.4,18.8,14.1,106.2,89.5,71.5,74.5,93.5,51.5,32.5,26.0,34.5,36.5,23.5,16.5,21.0,174.0,65.6
1.0,43.7,28.5,33.5,16.9,30.8,14.0,11.8,20.6,15.1,110.5,97.0,79.0,86.5,94.8,51.5,34.4,28.0,36.5,37.5,24.5,17.0,23.0,175.3,71.8
1.0,40.1,28.2,33.3,20.9,31.7,13.9,10.9,19.7,14.1,115.1,97.5,83.2,82.9,95.0,57.3,33.4,28.8,37.0,37.3,21.9,16.9,28.0,193.5,80.7
1.0,44.3,29.9,34.0,18.4,28.2,13.9,11.2,20.9,15.0,104.5,97.0,77.8,78.8,94.0,53.0,31.0,26.2,37.0,34.8,23.0,16.6,23.0,186.5,72.6
1.0,42.5,29.9,34.0,21.5,29.4,15.2,11.6,20.7,14.9,107.5,97.5,80.0,82.5,98.5,55.4,32.0,28.4,37.7,38.6,24.4,18.0,22.0,187.2,78.8
1.0,43.3,27.0,31.5,19.6,31.3,14.0,11.5,18.8,13.9,119.8,99.9,82.5,80.1,95.3,57.5,33.0,28.0,36.6,36.1,23.5,16.9,20.6,181.5,74.8
1.0,43.5,30.0,34.0,21.9,31.7,16.1,12.5,20.8,15.6,123.5,106.9,82.0,84.0,101.0,60.9,42.4,32.3,40.1,40.3,23.6,18.8,25.5,184.0,86.4
1.0,44.4,29.8,33.2,21.8,28.8,15.1,11.9,21.0,14.6,120.4,102.5,76.8,80.5,98.0,56.0,34.1,28.0,39.2,36.7,22.5,18.0,26.9,184.5,78.4
1.0,43.5,26.5,32.1,15.5,27.5,14.1,11.2,18.9,13.2,111.0,91.0,68.5,69.0,89.5,50.0,33.0,26.0,35.5,35.0,22.0,16.5,22.8,175.0,62.0
1.0,42.0,28.0,34.0,22.5,28.0,15.6,12.0,21.1,15.0,119.5,93.5,77.5,81.5,99.8,59.8,36.5,29.2,38.3,38.6,22.2,16.9,21.0,184.0,81.6
1.0,40.3,29.0,33.0,20.1,30.3,13.4,10.4,19.4,14.5,117.1,97.7,81.9,81.0,98.4,60.5,34.6,27.9,38.9,40.1,23.2,16.2,23.0,180.0,76.6
1.0,43.7,29.0,31.3,20.5,29.7,15.0,11.7,20.9,16.0,123.5,99.5,82.6,82.5,95.0,58.5,38.5,30.4,39.0,38.4,24.3,18.2,21.8,177.8,83.6
1.0,47.4,29.6,35.7,20.8,31.4,16.1,11.3,21.5,15.4,116.5,103.0,85.0,94.5,103.0,59.0,33.5,29.0,40.5,40.0,26.0,18.0,20.0,192.0,90.0
1.0,40.3,27.5,31.4,21.7,28.0,13.3,10.3,18.8,13.2,113.0,99.6,85.6,89.2,98.0,59.1,35.6,29.0,35.8,36.0,21.5,16.6,25.9,176.0,74.6
1.0,41.0,26.8,32.2,21.9,28.6,14.9,10.6,17.8,14.0,107.5,101.5,78.0,89.5,95.0,57.0,36.0,29.0,34.5,35.0,22.0,16.5,23.1,174.0,71.0
1.0,45.0,27.0,33.2,21.7,30.6,13.7,11.1,20.7,14.0,112.0,104.1,82.0,84.0,97.0,56.0,34.5,29.5,39.0,35.7,24.0,17.5,21.8,184.0,79.6
1.0,39.9,30.0,34.5,21.0,29.4,15.6,11.9,21.2,16.0,112.2,100.0,88.3,93.5,105.0,65.8,37.0,28.8,40.9,41.7,24.2,17.8,29.8,192.7,93.8
1.0,43.0,26.5,30.3,19.3,30.0,14.8,11.2,19.7,14.7,120.0,93.8,73.6,74.9,90.1,54.1,31.2,26.9,36.4,35.6,22.0,17.1,22.0,171.5,70.0
1.0,43.1,28.6,33.4,22.2,29.5,14.9,12.2,20.8,14.8,109.0,98.5,78.5,86.0,94.5,55.0,34.5,28.5,38.0,36.5,23.0,18.5,29.0,173.0,72.4
1.0,43.6,29.3,34.4,20.2,32.6,15.4,10.9,20.7,15.5,118.5,104.0,87.3,88.0,101.1,59.5,37.0,30.5,39.8,42.0,26.5,18.8,22.0,176.0,85.9
1.0,42.0,27.5,30.7,21.3,32.0,13.1,11.1,19.2,13.9,116.0,100.0,92.0,91.0,98.0,57.5,32.0,27.6,37.5,35.2,21.0,17.3,22.0,176.0,78.8
1.0,43.8,28.0,33.3,20.0,32.0,15.0,11.5,20.4,14.4,111.0,100.0,80.0,83.7,99.5,57.0,37.0,30.0,37.5,35.5,23.0,18.0,20.3,180.5,77.8
1.0,42.3,26.4,31.2,18.0,30.9,14.6,10.8,18.6,13.8,117.7,99.0,74.5,75.9,92.2,53.4,31.2,26.9,36.2,33.3,23.5,16.0,22.0,172.7,66.2
1.0,42.7,29.9,35.0,21.8,32.8,14.3,11.2,19.8,14.1,123.9,101.0,90.6,89.6,101.2,59.5,37.0,28.3,35.4,40.6,22.9,17.0,24.0,176.0,86.4
1.0,44.8,27.8,32.2,18.3,31.5,15.2,11.6,19.4,14.7,120.6,101.6,81.4,81.6,98.8,61.3,39.4,31.9,38.5,41.2,22.8,18.2,26.0,173.5,81.8
1.0,46.0,30.1,34.5,20.2,31.1,16.4,13.3,22.2,14.9,129.5,108.8,89.5,89.5,106.0,59.5,37.5,30.1,39.9,41.5,23.5,19.0,23.5,178.0,89.6
1.0,45.4,31.8,35.2,20.2,32.3,14.6,10.5,20.2,15.3,115.0,100.0,85.0,94.5,105.0,62.0,35.5,28.5,38.0,40.0,23.5,16.7,21.0,180.3,82.8
1.0,40.5,28.3,33.4,19.2,28.8,14.6,11.1,20.8,14.5,116.0,88.0,73.5,77.7,97.0,56.3,32.5,27.8,39.0,38.2,23.5,17.8,23.5,180.3,76.4
1.0,39.4,25.5,30.2,17.6,27.7,13.0,10.2,18.9,13.2,107.8,88.7,75.8,83.0,89.0,52.6,31.2,26.5,37.0,37.4,21.5,16.5,22.5,164.5,63.2
1.0,40.2,27.2,31.7,18.1,26.5,13.3,10.1,18.6,13.2,100.2,84.5,74.0,81.0,93.5,50.5,27.5,24.8,34.0,32.8,21.0,15.6,18.8,173.0,60.9
